fdc_id,description_en,description_de
171337,"Babyfood, fruit, peaches, junior",
171336,"Babyfood, fruit, peaches, strained",
171347,"Babyfood, fruit, pears and pineapple, junior",
170955,"Babyfood, fruit, pears and pineapple, strained",
170943,"Babyfood, fruit, pears, junior",
171338,"Babyfood, fruit, pears, strained",
170945,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",
170944,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",
171339,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",
170946,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",
169874,"Babyfood, fruit, tutti frutti, junior",
169873,"Babyfood, fruit, tutti frutti, strained",
173487,"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",
172254,"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",
169792,"Babyfood, GERBER, Banana with orange medley",
171371,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",
168144,"Babyfood, grape juice, no sugar, canned",
169049,"Babyfood, green beans and turkey, strained",
172273,"Babyfood, green beans, dices, toddler",
173478,"Babyfood, juice treats, fruit medley, toddler",
170959,"Babyfood, juice, apple",
167729,"Babyfood, juice, apple - cherry",
171381,"Babyfood, juice, apple and grape",
171352,"Babyfood, juice, apple and peach",
171353,"Babyfood, juice, apple and prune",
170985,"Babyfood, juice, apple, with calcium",
169042,"Babyfood, juice, apple-sweet potato",
170984,"Babyfood, juice, fruit punch, with calcium",
171357,"Babyfood, juice, mixed fruit",
171354,"Babyfood, juice, orange",
171355,"Babyfood, juice, orange and apple",
170960,"Babyfood, juice, orange and apple and banana",
170961,"Babyfood, juice, orange and apricot",
170962,"Babyfood, juice, orange and banana",
170963,"Babyfood, juice, orange and pineapple",
169043,"Babyfood, juice, orange-carrot",
167718,"Babyfood, juice, pear",
171356,"Babyfood, juice, prune and orange",
172259,"Babyfood, macaroni and cheese, toddler",
170989,"Babyfood, mashed cheddar potatoes and broccoli, toddlers",
167720,"Babyfood, meat, beef with vegetables, toddler",
172244,"Babyfood, meat, beef, junior",
173479,"Babyfood, meat, beef, strained",
172249,"Babyfood, meat, chicken sticks, junior",
172248,"Babyfood, meat, chicken, junior",
173483,"Babyfood, meat, chicken, strained",
173480,"Babyfood, meat, ham, junior",
172247,"Babyfood, meat, ham, strained",
173482,"Babyfood, meat, lamb, junior",
173481,"Babyfood, meat, lamb, strained",
173486,"Babyfood, meat, meat sticks, junior",
172246,"Babyfood, meat, pork, strained",
173484,"Babyfood, meat, turkey sticks, junior",
172251,"Babyfood, meat, turkey, junior",
172250,"Babyfood, meat, turkey, strained",
172245,"Babyfood, meat, veal, strained",
168091,"Babyfood, mixed fruit juice with low fat yogurt",
167726,"Babyfood, mixed fruit yogurt, strained",
171000,"Babyfood, Multigrain whole grain cereal, dry fortified",
171367,"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",
171349,"Babyfood, peaches, dices, toddler",
171342,"Babyfood, pears, dices, toddler",
169865,"Babyfood, peas and brown rice",
170940,"Babyfood, peas, dices, toddler",
172285,"Babyfood, plums, bananas and rice, strained",
173508,"Babyfood, potatoes, toddler",
171370,"Babyfood, pretzels",
171340,"Babyfood, prunes, without vitamin c, strained",
172257,"Babyfood, ravioli, cheese filled, with tomato sauce",
167728,"Babyfood, rice and apples, dry",
168975,"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",
173485,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",
171398,"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",
173520,"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",
172255,"Babyfood, tropical fruit medley",
169864,"Babyfood, vegetable and brown rice, strained",
173510,"Babyfood, vegetable, butternut squash and corn",
173504,"Babyfood, vegetable, green beans and potatoes",
173505,"Babyfood, vegetables, beets, strained",
173507,"Babyfood, vegetables, carrots, junior",
173506,"Babyfood, vegetables, carrots, strained",
171334,"Babyfood, vegetables, corn, creamed, junior",
172280,"Babyfood, vegetables, corn, creamed, strained",
172284,"Babyfood, vegetables, garden vegetable, strained",
172272,"Babyfood, vegetables, green beans, junior",
172271,"Babyfood, vegetables, green beans, strained",
172283,"Babyfood, vegetables, mix vegetables junior",
173515,"Babyfood, vegetables, mix vegetables strained",
170939,"Babyfood, vegetables, peas, strained",
170941,"Babyfood, vegetables, spinach, creamed, strained",
172275,"Babyfood, vegetables, squash, junior",
172274,"Babyfood, vegetables, squash, strained",
172276,"Babyfood, vegetables, sweet potatoes strained",
172277,"Babyfood, vegetables, sweet potatoes, junior",
172253,"Babyfood, water, bottled, GERBER, without added fluoride",
170987,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",
170990,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",
174602,Bacon and beef sticks,
169893,"Bacon bits, meatless",
172439,"Bacon, meatless",
168382,"Bacon, pre-sliced, reduced/low sodium, unprepared",
171640,"Bacon, turkey, low sodium",
171639,"Bacon, turkey, microwaved",
174592,"Bacon, turkey, unprepared",
172664,"Bagels, cinnamon-raisin",
172665,"Bagels, cinnamon-raisin, toasted",
174901,"Bagels, egg",
171852,"Bagels, multigrain",
172666,"Bagels, oat bran",
174899,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",
174900,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",
175049,"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",
175050,"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",
175051,"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",
167533,"Bagels, wheat",
174092,"Bagels, whole grain white",
169584,"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",
169581,"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",
167999,"Baking chocolate, mexican, squares",
167567,"Baking chocolate, unsweetened, liquid",
167568,"Baking chocolate, unsweetened, squares",
168495,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",
168392,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",
168391,"Balsam-pear (bitter gourd), leafy tips, raw",
168496,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",
168393,"Balsam-pear (bitter gourd), pods, raw",
169212,"Bamboo shoots, canned, drained solids",
168497,"Bamboo shoots, cooked, boiled, drained, with salt",
169211,"Bamboo shoots, cooked, boiled, drained, without salt",
169210,"Bamboo shoots, raw",
173945,"Bananas, dehydrated, or banana powder",
1105073,"Bananas, overripe, raw",
173944,"Bananas, raw",
1105314,"Bananas, ripe and slightly ripe, raw",
169783,"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",
167806,Baobab powder,
171601,"Barbecue loaf, pork, beef",
169739,Barley flour or meal,
169740,Barley malt flour,
170283,"Barley, hulled",
170285,"Barley, pearled, cooked",
170284,"Barley, pearled, raw",
172232,"Basil, fresh",
173789,"Beans, adzuki, mature seed, cooked, boiled, with salt",
173729,"Beans, adzuki, mature seeds, canned, sweetened",
173728,"Beans, adzuki, mature seeds, cooked, boiled, without salt",
173727,"Beans, adzuki, mature seeds, raw",
168128,"Beans, baked, canned, no salt added",
175182,"Beans, baked, canned, plain or vegetarian",
175183,"Beans, baked, canned, with beef",
175184,"Beans, baked, canned, with franks",
175185,"Beans, baked, canned, with pork",
173732,"Beans, baked, canned, with pork and sweet sauce",
173733,"Beans, baked, canned, with pork and tomato sauce",
173731,"Beans, baked, home prepared",
175188,"Beans, black turtle, mature seeds, canned",
175239,"Beans, black turtle, mature seeds, cooked, boiled, with salt",
175187,"Beans, black turtle, mature seeds, cooked, boiled, without salt",
175186,"Beans, black turtle, mature seeds, raw",
2644285,"Beans, black, canned, sodium added, drained and rinsed",
175238,"Beans, black, mature seeds, canned, low sodium",
175237,"Beans, black, mature seeds, cooked, boiled, with salt",
173735,"Beans, black, mature seeds, cooked, boiled, without salt",
173734,"Beans, black, mature seeds, raw",
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",
2644281,"Beans, cannellini, dry",
169065,"Beans, chili, barbecue, ranch style, cooked",
